598,2269.0366,2460.2317,8.2674,181.9338,-1,-1 ; 
490,2278.0327,2459.1831,8.9495,1.6668,0,0 ; rancher 2
490,2255.8301,2443.1006,8.2475,179.7459,-1,-1 ; 
490,2239.7317,2456.6294,1.4036,88.4757,-1,-1 ; 
598,2276.6790,2473.7705,1.0201,184.7489,-1,-1 ; 
598,2315.3213,2464.7903,1.0219,270.0937,-1,-1 ; 
523,2297.4980,2464.5881,1.0,88.5560,-1,-1 ;  
490,2314.2158,2484.8979,3.3994,92.8849,0,0 ; 
490,2240.0923,2436.7124,3.4017,91.8532,0,0 ; 
598,2299.4771,2451.7512,3.0199,270.3331,0,1 ; 
416,1590.5470,1849.9900,10.9690,359.8599,1,3 ; Ambulance
544,1769.6177,2075.1941,11.0567,179.5683,3,1 ; firetruck
544,1750.6584,2077.1130,11.0558,180.0440,3,1 ; firetruck LA
544,1763.4852,2076.7075,11.0525,179.6720,3,1 ; firetruck LA
544,1757.0782,2075.0398,11.0568,177.5558,3,1 ; firetruck
