402,-2507.2949,-2661.3745,41.6141,47.4363,110,110 ;
489,-2226.7434,-2328.2502,30.7267,320.7235,112,120 ;
489,-2222.2510,-2313.6255,30.7043,139.2188,84,110 ;
492,-2237.1716,-2319.5217,30.1612,320.8835,81,27 ;
416,-2202.5034,-2315.8738,30.7133,319.2146,1,3 ;
437,-2183.7781,-2251.1504,30.7739,50.7582,47,74 ;
439,-2195.2422,-2265.3093,30.5210,141.9245,67,8 ;
468,-2119.6216,-2309.6587,30.2906,236.4014,46,46 ;
468,-2090.2646,-2343.2664,30.2931,133.5882,46,46 ;
478,-2139.3381,-2394.7605,30.5346,321.4478,39,1 ;
403,-2000.1112,-2415.5122,31.5910,229.2187,42,76 ;
578,-1969.7488,-2437.8750,31.2884,278.4375,1,1 ;
483,-2047.1421,-2548.5454,30.6175,143.9577,1,5 ;
496,-2090.5361,-2547.2097,30.3414,319.1863,22,22 ;
499,-2147.2827,-2540.9390,30.6123,321.3171,30,44 ;
507,-2198.5273,-2501.1497,30.4429,142.3857,42,42 ;
508,-2238.4976,-2476.8638,31.5504,135.3413,1,1 ;
525,-2201.8979,-2431.7083,30.5065,143.2419,18,20 ;
542,-2208.8726,-2301.8511,30.3685,141.4184,24,118 ;
468,-2408.1938,-2180.6550,32.9574,359.2591,46,46 ;
468,-2408.5000,-2185.9998,32.9470,320.6251,46,46 ;
468,-2404.6194,-2184.0007,32.9580,180.5767,46,46 ;
468,-2410.8003,-2193.1538,32.9575,98.7390,46,46 ;
468,-2383.4412,-2195.6008,32.9551,269.5914,46,46 ;
421,-2232.4705,-2168.4863,40.0861,269.7545,60,72 ;
586,-2211.9084,-2152.1482,44.5665,39.1714,32,1 ;
586,-2341.5479,-1617.2042,483.2097,282.5971,32,1 ;
483,-2343.2617,-1613.8766,483.6216,105.4733,17,0 ;
508,-2338.5103,-1593.7384,483.9936,19.6733,1,1 ;
542,-1903.3435,-1648.1373,21.4948,0.2053,119,113 ;
543,-1884.3240,-1746.2726,21.5641,116.1925,11,11 ;
568,-1425.6388,-1964.6725,16.7105,350.8758,21,1 ;
568,-1422.0557,-1774.0085,46.2861,324.6743,21,1 ;
424,-1642.4336,-2250.6626,31.2032,90.7391,3,2 ;
471,-1623.8788,-1935.3231,98.1842,9.9608,120,113 ;
471,-1423.5978,-1480.9163,101.1533,181.2331,120,113 ;
478,-1446.1260,-1494.6138,101.7287,5.6246,20,1 ;
468,-1460.7500,-1566.6244,101.4172,1.4063,3,3 ;
455,-1921.1332,-1376.5702,40.8204,60.9558,43,31 ;
568,-2675.9160,-2647.4185,8.6870,28.6794,21,1 ;
527,-2504.5608,-2310.4421,14.8242,97.2619,81,1 ;
543,-2522.9070,-2151.9607,30.3162,29.5732,67,8 ;
568,-2675.9160,-2647.4185,8.6870,28.6794,21,1 ;
487,-2249.4399,-1714.5770,480.3400,224.1963,26,3 ;
500,-2390.3206,-1866.1573,405.1097,113.9224,25,119 ;
533,-2096.2732,-1879.9227,110.1080,326.6144,79,1 ;
540,-2515.5264,-1995.7284,166.3035,28.0149,7,7 ;
554,-2669.3086,-1735.2327,252.3595,12.2743,53,32 ;
559,-2590.5930,-1618.1426,343.4677,186.3544,2,1 ;
579,-2106.7739,-1752.2147,195.3652,327.5763,53,53 ;
595,-2819.6802,-2525.9888,0.4586,189.6302,112,20 ;
453,-2741.3564,-2707.7283,0.1389,208.1954,56,56 ;
484,-2548.1646,-2873.2219,0.3669,268.3289,40,26 ;
484,-2476.8723,-2872.8672,0.4027,271.5837,40,26 ;
473,-2251.1206,-2847.8003,-0.3512,165.8474,56,53 ;
424,-2242.9829,-2821.8870,2.7472,94.0740,15,30 ;
506,-1604.3470,-2709.3530,48.2387,54.1573,3,3 ;
536,-1561.9785,-2720.5659,48.2750,234.6728,37,1 ;
545,-1569.3097,-2733.4148,48.3547,326.8112,28,96 ;
582,-1557.6207,-2741.3735,48.5990,146.9182,41,20 ;
430,-1190.5161,-2686.8108,-0.2699,13.1617,46,26 ;
478,-1220.1482,-2632.0308,9.9623,84.2916,59,1 ;
473,-1249.5088,-2431.4194,-0.1994,349.6535,56,15 ;
473,-1183.5031,-2138.8706,-0.2420,8.5587,56,15 ;
446,-1429.5232,-2080.6206,-0.3127,148.7616,1,35 ;
446,-1544.0499,-2232.3506,-0.5151,167.9522,1,35 ;
453,-1639.3208,-1706.3165,-0.3042,73.0880,56,56 ;
460,-2038.7720,-1314.9452,1.7166,80.6954,17,23 ;
493,-2417.8992,-944.8141,-0.1597,61.3139,36,13 ;
542,-2217.0332,-2407.2427,30.8341,232.1176,24,118 ;
468,-2508.1077,-1892.6254,297.1185,25.0147,46,46 ;
