409,1944.0602,1346.0486,8.9093,180.2598,0,0 ; Limo
409,1944.3724,1335.7693,8.9094,178.7635,1,1 ; Limo
409,2039.6443,1008.3372,10.4717,178.7756,0,0 ; Limo
409,2108.1514,1440.6624,10.6203,268.1557,0,0 ; Limo
409,2176.3467,1676.1738,10.6203,179.9265,1,1 ; Limo
409,2035.1099,1917.6454,11.9762,180.5781,1,1 ; Limo
587,2075.4963,1490.6589,10.3973,0.9207,10,10 ; Euros
451,2148.8706,1398.3688,10.5208,359.6848,78,78 ; Turismo 
558,2132.6252,1409.2678,10.4506,180.3099,36,1 ; Uranus
420,2039.7207,1335.4227,10.4504,178.9215,-1,-1 ; Taxi
420,2159.9783,1687.9427,10.5331,15.7070,-1,-1 ; Taxi
420,2217.6040,1838.1331,10.5980,180.3272,-1,-1 ; Taxi
420,2040.1990,1344.9268,10.4492,178.6027,-1,-1 ; Taxi
562,2039.9257,1019.8728,10.3308,179.7790,33,33 ; Elegy
562,1881.7867,964.0424,10.4797,89.3165,33,33 ; 
562,1881.5303,991.9349,10.4789,88.5594,33,33 ; 
562,1881.8263,1035.1031,10.4788,90.5642,33,33 ; 
562,1882.0393,1054.4159,10.4798,90.3892,33,33 ; 
543,1665.9182,900.6049,10.6179,154.1468,66,84 ; 
561,1655.6388,999.3278,10.6343,1.6394,112,112 ; 
516,1677.3665,988.1376,10.6021,359.7391,16,16 ; 
411,1889.2765,1934.0405,13.5119,180.0616,4,4 ; 
422,2791.8364,1997.4441,10.8079,358.2167,8,10 ; 
402,2812.9854,2026.3202,10.5870,181.2861,46,46 ; 
401,2822.0801,2169.3892,10.5975,270.8597,59,59 ; 
402,2582.8459,2271.9075,10.6526,89.7938,58,58 ; 
561,2764.5786,1281.6991,10.4819,91.0993,72,72 ; 
405,2782.1956,1295.4828,10.6250,179.4644,65,65 ; 
414,2624.3726,1104.1190,10.8045,269.3916,101,101 ; 
463,2437.9824,2060.0774,10.3605,321.5250,66,66 ; 
463,2439.4592,2059.3762,10.3573,317.0827,125,125 ; 
463,2436.2813,2060.5950,10.3597,324.4647,70,70 ; 
533,2444.2742,1990.9354,10.5294,359.2699,83,83 ; 
480,2458.2346,1992.2141,10.5043,180.6471,92,92 ; 
482,2170.9219,1981.6818,10.8809,90.0917,52,52 ; 
402,2231.9128,1277.3851,10.5745,1.2022,22,22 ; 
451,2182.8376,1287.8752,10.4708,180.3702,123,1 ; 
415,2171.9434,1118.7880,12.3942,333.4859,36,1 ; 
429,2141.7615,1022.6919,10.5000,90.9348,13,13 ; 
436,2150.9563,987.4216,10.5865,180.8703,87,1 ; 
439,2133.0083,1006.8494,10.7160,89.0048,43,21 ; 
561,2163.0320,1006.4872,10.6988,270.5458,101,1 ; 
461,2132.7266,899.1528,10.4046,270.7793,61,1 ; 
462,2132.7463,906.0122,10.4196,268.0389,2,1 ; 
463,2475.0217,992.2781,10.3602,206.1178,7,7 ; 
474,2197.8374,936.0216,10.5829,185.2772,105,1 ; 
442,2485.1379,936.2085,10.6624,0.1062,25,109 ; 
